Projeto,ID_US,ID_TC,ID_STD_TC
RCP,#2376,HWLL-18:[TC] Cadastrar usuário com sucesso,1
RCP,#2376,HWLL-20:[TC] Cancelar cadastro de usuário com sucesso,2
RCP,#2376,HWLL-21:[SPEC] Verificar duplicidade no cadastro de usuário,3
RCP,#2376,HWLL-28:[TC] Cadastrar usuário sem informar nenhum campo obrigatório,4
RCP,#2376,HWLL-29:[SPEC] Criar usuários utilizando diferentes perfis,5
RCP,#2376,HWLL-30:[SPEC] Validar comportamento do campo Confirmar Senha,6
RCP,#2376,HWLL-31:[SPEC] Validar comportamento do campo Matrícula,7
RCP,#2376,HWLL-32:[SPEC] Validar comportamento do campo Nome,8
RCP,#2376,HWLL-33:[SPEC] Validar comportamento do campo Função,34
RCP,#2376,HWLL-34:[SPEC] Validar comportamento do campo Senha,10
RCP,#2376,HWLL-35:[SPEC] Validar comportamento do campo Perfil,11
RCP,#2392,HWLL-36:[SPEC] Validar comportamento do campo Função,12
RCP,#2392,HWLL-37:[SPEC] Validar comportamento do campo Nome,1
RCP,#2392,HWLL-38:[SPEC] Validar comportamento do campo Matrícula,1
RCP,#2392,HWLL-39:[SPEC] Editar informações do usuário com sucesso,12
RCP,#2392,HWLL-40:[SPEC] Verificar duplicidade na edição de usuário,11
RCP,#2392,HWLL-41:[TC] Editar usuário deixando todos os campos de texto do formulário em branco,20
RCP,#2392,"HWLL-42:[TC] Verificar presença do botão ""Cancelar""",13
RCP,#2392,HWLL-43:[TC] Cancelar edição de usuário com sucesso,14
RCP,#2399,HWLL-14:[SPEC] Validações de dados,15
RCP,#2399,HWLL-13:[TC] Verificar acessibilidade às páginas,16
RCP,#2399,HWLL-12:[TC] Excluir papel User,17
RCP,#2399,HWLL-11:[TC] Incluir papel User,18
RCP,#2399,HWLL-6:[TC] Incluir papel Admin,19
RCP,#2399,HWLL-7:[TC] Excluir papel Admin,19
RCP,#2399,HWLL-8:[TC] Verificar acessibilidade às páginas,20
RCP,#2399,HWLL-9:[SPEC] Validações de dados,13
RCP,#2377,HWLL-22:[SPEC] Verificar acesso por Perfis,14
RCP,#2377,HWLL-49:[TC] Acessar tela de consulta de OPS sem estar logado a aplicação,15
RCP,#2377,HWLL-50:[TC] Validar acesso de usuário inativado,16
RCP,#2377,HWLL-51:[TC] Listar todas as OPs com sucesso,17
RCP,#2377,HWLL-52:[TC] Validar nomenclatura das colunas listadas,16
RCP,#2377,HWLL-53:[TC] Validar resultado de consulta por OP's vazia,20
RCP,#2377,HWLL-54:[TC] Verificar redirecionamento a tela de login após time out,14
RCP,#2377,HWLL-55:[TC] Validar paginação,18
RCP,#2383,HWLL-56:[TC] Validar paginação,19
RCP,#2383,HWLL-57:[SPEC] Verificar acesso por Perfis,13
RCP,#2383,HWLL-58:[TC] Acessar tela de consulta de Consultar BOM sem estar logado a aplicação,15
RCP,#2383,HWLL-59:[TC] Validar acesso de usuário inativado,16
RCP,#2383,HWLL-60:[TC] Listar todas as Matérias-Primas com sucesso,21
RCP,#2383,HWLL-61:[TC] Validar nomenclatura das colunas listadas,16
RCP,#2383,HWLL-62:[TC] Validar resultado de consulta de Matéria-Prima vazia,13
RCP,#2383,HWLL-63:[TC] Verificar redirecionamento a tela de login após time out,14
RCP,#2383,HWLL-65:[SPEC] Verificar acesso por Perfis,22
RCP,#2383,HWLL-67:[TC] Validar acesso de usuário inativado,23
RCP,#2383,HWLL-71:[TC] Verificar redirecionamento a tela de login após time out,18
RCP,#2490,HWLL-64:[TC] Validar paginação,20
RCP,#2490,HWLL-66:[TC] Acessar tela Consultar produtos finais sem estar logado a aplicação,13
RCP,#2490,HWLL-68:[TC] Listar todas os produtos finais com sucesso,14
RCP,#2490,HWLL-69:[TC] Validar nomenclatura das colunas listadas,16
RCP,#2490,HWLL-70:[TC] Validar resultado de consulta de produtos finais,17
RCP,#2598-1,HWLL-72:[SPEC] Validar ações no campo Search em Ordens de Produção,18
RCP,#2383,HWLL-73:[SPEC] Validar ações no campo Search em BOM (matéria-prima),19
RCP,#2490,HWLL-74:[SPEC] Validar ações no campo Search em Produtos Finais,16
RCP,#3381,HWLL-75:[SPEC] Verificar acesso por Perfis,20
RCP,#3381,HWLL-76:[TC] Acessar tela de Detalhamento de OP's sem estar logado a aplicação,13
RCP,#3381,HWLL-77:[TC] Validar acesso de usuário inativado,14
RCP,#3381,HWLL-78:[TC] Verificar se todos os dados da OP estão sendo exibidos,15
RCP,#3381,HWLL-79:[TC] Verificar inserção de link em ordem de produção inexistente,17
RCP,#3381,HWLL-80:[TC] Verificar redirecionamento a tela de login após time out,18
RCP,#3390,HWLL-81:[SPEC] Verificar acesso por Perfis,19
RCP,#3390,HWLL-82:[TC] Acessar tela de consulta de matérias-primas sem estar logado a aplicação,16
RCP,#3390,HWLL-83:[TC] Validar acesso de usuário inativado,13
RCP,#3390,HWLL-84:[TC] Listar todas as Matérias-Primas com sucesso,14
RCP,#3390,HWLL-85:[TC] Validar resultado de consulta por matérias-primas vazia,17
RCP,#3390,HWLL-86:[TC] Verificar redirecionamento a tela de login após time out,14
RCP,#3390,HWLL-87:[TC] Validar paginação,19
RCP,#3390,HWLL-88:[TC] Validar nomenclatura das colunas listadas,16
RCP,#3392,HWLL-89:[SPEC] Verificar acesso por Perfis,20
RCP,#3392,HWLL-90:[TC] Acessar tela de consulta de matérias-primas sem estar logado a aplicação,13
RCP,#3392,HWLL-91:[TC] Validar acesso de usuário inativado,24
RCP,#3392,HWLL-92:[TC] Listar todos os Produtos Finais com sucesso,15
RCP,#3392,HWLL-93:[TC] Validar resultado de consulta por produtos finais vazia,17
RCP,#3392,HWLL-94:[TC] Verificar redirecionamento a tela de login após time out,18
