bug_id,severity,spec_id,name
9131,MEDIUM,3790,Adicionar nova peça de referência
9146,MEDIUM,52,Comparação de modelos
9127,LOW,52,Comparação de modelos
9119,LOW,6588,Ordenação de colunas
9264,LOW,4323,Internationalization Session Test
9177,LOW,4649,Conformance Test Session
9275,MEDIUM,3732,Create and View User
9267,LOW,4649,Conformance Test Session
9192,LOW,5065,Get project information
9193,LOW,5065,Get project information
9266,LOW,6881,Edit SEND SMS parameters with input validation
9268,LOW,4323,Internationalization Session Test
9239,HIGH,3020,Habilitar e Desabilitar Convidado
9239,HIGH,3118,Habilitar/ Desabilitar recepcionista
9204,LOW,7012,Internacionalização do arquivo de exportação de convidados do evento
9279,MEDIUM,6613,Test email server
9196,MEDIUM,3273,Listagem de convidados filtrados por template de e-mail
9196,MEDIUM,2908,Listagem de templates de e-mail de um evento global
9277,MEDIUM,6613,Test email server
9274,LOW,6613,Test email server
9272,LOW,6613,Test email server
9171,MEDIUM,6916,Edit CALLBACK parameters
9270,MEDIUM,6613,Test email server
9201,HIGH,6944,Acessar a loja do app invitation app via url
9170,LOW,6872,Edit SWITCH parameters
9172,LOW,6910,Edit VOICEMAIL parameters
9176,LOW,6937,Edit GET DIGITS parameters with input validation
9174,LOW,6896,Edit TEXT-TO-SPEECH parameters
9175,LOW,6923,Edit RECORD parameters
9173,MEDIUM,6857,Edit SAY PHONETIC parameters
9183,LOW,4323,Internationalization Session Test
8140,MEDIUM,3421,Login de convidado quando ocorrer erro na leitura da digital
9202,HIGH,6944,Acessar a loja do app invitation app via url
9300,HIGH,6303,Insert GOTO
9300,HIGH,6304,Edit GOTO parameters
9136,MEDIUM,6737,Alterar uma MO com o Status Closed
9102,MEDIUM,6664,Alterar BOM via Protheus
9271,LOW,6613,Test email server
9276,LOW,4323,Internationalization Session Test
9276,LOW,6613,Test email server
9280,LOW,6613,Test email server
9311,LOW,6304,Edit GOTO parameters
9352,MEDIUM,7085,Realizar configuração do hypervisor já existente
9459,HIGH,7185,Logout de multiplos usuários
9459,HIGH,7137,Logout do JFL
9402,MEDIUM,7081,Realizar configuração inválida Hypervisor
9400,MEDIUM,7081,Realizar configuração inválida Hypervisor
9439,MEDIUM,6588,Ordenação de colunas
9479,HIGH,7272,Opção para mostrar os projetos fechados
9482,HIGH,7336,Exibição de links de commits feitos no gitlab relacionado a task
9477,HIGH,7270,Opção para mostrar os contratos fechados
9104,LOW,4526,Editar Objeto 3D com dados inválidos
8526,LOW,5790,Item de publicidade por idiomas
9424,MEDIUM,7161,Criar uma nova Conta com sucesso
9424,MEDIUM,7112,Preenchimento do Campo Senha
9422,MEDIUM,7161,Criar uma nova Conta com sucesso
9422,MEDIUM,7112,Preenchimento do Campo Senha
9431,LOW,7161,Criar uma nova Conta com sucesso
9431,LOW,7112,Preenchimento do Campo Senha
9427,MEDIUM,7162,Editar uma Senha com sucesso
9427,MEDIUM,7144,Editar Campo Senha do Usuário
9430,LOW,7139,Recuperar senha sucesso
9430,LOW,7141,Tentar recuperar senha com Código de validação invalido
