Módulo,Operação,Tarefa,ID (mapeamento),Projeto,ID_US,DESC_US,Plataforma,ID_Task,DESC_Task,Tipo            ,Mapeado? (SIM ou NAO),Origem
Cadastro,Atualizar_dados,Criar tela alteração,409,SPGEC,#16759,Check-In no Refrigerador,,#42902,Editar lotes,Negocio,Sim,Virtus
Cadastro,Atualizar_dados,Validar Dados no Servidor,410,SPGEC,#16759,Check-In no Refrigerador,,#42901,Enviar dados dos lotes para o servidor,Negocio,Sim,Virtus
X,X,X,411,SPGEC,#16759,Check-In no Refrigerador,,#43091,Montagem do lote,Negocio,Nao,Virtus
X,X,X,412,SPGEC,#15056,Estabilização,,#43520,Data no formato do SO. (corrigir conforme idioma do sistema - SI2),Negocio,Nao,Virtus
X,X,X,413,SPGEC,#15056,Estabilização,,#43530,Correção de bugs,Tecnica,Nao,Virtus
X,X,X,414,SPGEC,#15056,Estabilização,,#43600,Correção de bugs no fluxo do checkin,Tecnica,Nao,Virtus
X,X,X,415,SPGEC,#15056,Estabilização,,#43709,Scrap de um insumo,Negocio,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,416,SPGEC,#15056,Estabilização,,#43094,[Check-In] Correções de layout,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar validação de dados no cliente,417,SPGEC,#15056,Estabilização,,#43096,[Tela de detalhes] Corrigir o calculo da hora,Negocio,Sim,Virtus
X,X,X,418,SPGEC,#15056,Estabilização,,#43099,[web] Aba pasta de solda e cola,Negocio,Nao,Virtus
X,X,X,419,SPGEC,#15056,Estabilização,,#43100,[Web] Histórico,Negocio,Nao,Virtus
X,X,X,420,SPGEC,#15056,Estabilização,,#43101,[Web] Equipamento,Negocio,Nao,Virtus
X,X,X,421,SPGEC,#15056,Estabilização,,#43103,[Web] Configuração de insumo,Negocio,Nao,Virtus
X,X,X,422,SPGEC,#15056,Estabilização,,#43104,[Web] Configuração de cliente,Negocio,Nao,Virtus
X,X,X,423,SPGEC,#15056,Estabilização,,#43167,Correção de bugs,Tecnica,Nao,Virtus
X,X,X,424,SPGEC,#15056,Estabilização,,#43266,[Web] Criar parâmetros para total de dias limite após retirada do refrigerador e total de horas para uso do insumo após aberto o pote,Negocio,Nao,Virtus
X,X,X,425,SPGEC,#15056,Estabilização,,#43329,Criar ids no frontend para testes de UI,Negocio,Nao,Virtus
