Project;User_Story;Developed;Recommended;Merge;Status;Relevance;Rejection_reason;Date
TestRec;User Login;Login com sucesso;;Login com sucesso;Developed;;;12/9/2020
TestRec;User Login;Login com usuário inexistente;;Login com usuário inexistente;Developed;;;12/9/2020
TestRec;User Login;Login com senha inválida;;Login com senha inválida;Developed;;;12/9/2020
TestRec;User Login;Login com campo obrigatório não preenchido;;Login com campo obrigatório não preenchido;Developed;;;12/9/2020
TestRec;User Login;;Acessar tela sem estar autenticado na aplicação;Acessar tela sem estar autenticado na aplicação;Accepted;High;;12/9/2020
TestRec;User Login;;O campo senha deve seguir a regra, conter pelo menos uma letra, um caracter especial, um número e uma letra maiúscula;O campo senha deve seguir a regra, conter pelo menos uma letra, um caracter especial, um número e uma letra maiúscula;Accepted;High;;12/9/2020
TestRec;User Login;;Realizar login com usuário inativo;Realizar login com usuário inativo;Rejected;-;Business compliance;12/9/2020
TestRec;User Registration;Registrar com sucesso;Registrar com sucesso;Registrar com sucesso;Reuse;High;;12/9/2020
TestRec;User Registration;Registrar com campo obrigatório não preenchido;Registrar com campos obrigatórios não preenchidos;Registrar com campos obrigatórios não preenchidos;Reuse;High;;12/9/2020
TestRec;User Registration;Registrar com senha diferente da confirmação;;Registrar com senha diferente da confirmação;Developed;-;;12/9/2020
TestRec;User Registration;Registrar com nome de usuário existente;Registrar com nome de usuário existente;Registrar com nome de usuário existente;Reuse;High;;12/9/2020
TestRec;User Registration;;Registrar com senha no formato inválido;Registrar com senha no formato inválido;Accepted;High;;12/9/2020
TestRec;User Registration;;Acessar tela sem estar autenticado na aplicação;Acessar tela sem estar autenticado na aplicação;Rejected;-;Not possible;12/9/2020
TestRec;User Registration;;Verificar acesso por papeis;Verificar acesso por papeis;Rejected;-;Not possible;12/9/2020
TestRec;User Registration;;Cadatrar entidade com restrição de negócio <restrição>;Cadatrar entidade com restrição de negócio <restrição>;Rejected;-;Business compliance;12/9/2020
TestRec;User Registration;;Cancelar registro com sucesso;Cancelar registro com sucesso;Accepted;Low;;12/9/2020
TestRec;Project creation;Cadastro de projeto com sucesso;Cadastro de projeto com sucesso;Cadastro de projeto com sucesso;Reuse;;;12/20/2020
TestRec;Project creation;;Cancelar cadastro de projeto com sucesso;Cancelar cadastro de projeto com sucesso;Accepted;;;12/20/2020
TestRec;Project creation;;Cadastrar projeto com ID existente;Cadastrar projeto com ID existente;Rejected;;Business compliance;12/20/2020
TestRec;Project creation;;Verificar acesso por papeis;Verificar acesso por papeis;Rejected;;Business compliance;12/20/2020
TestRec;Project creation;;Fechar tela antes de executar ação;Fechar tela antes de executar ação;Accepted;;;12/20/2020
TestRec;Project creation;;Cadastrar entidade com ID previamente excluído;Cadastrar entidade com ID previamente excluído;Rejected;;Business compliance;12/20/2020
TestRec;Project creation;;Validar ação sem conexão com servidor;Validar ação sem conexão com servidor;Accepted;;;12/20/2020
TestRec;Project creation;;Executar ação sem ter feito login;Executar ação sem ter feito login;Accepted;;;12/20/2020
TestRec;Project creation;Cadastro de projeto com data inicial maior que data final;;Cadastro de projeto com data inicial maior que data final;Developed;;;12/20/2020
TestRec;Project creation;Cadastro de projeto com campo obrigatório não preenchido;Cadastro de projeto com campo obrigatório não preenchido;Cadastro de projeto com campo obrigatório não preenchido;Reuse;;;12/20/2020
TestRec;Project creation;Cadastro de projeto com campo data inválida;Cadastrar entidade com campos inválidos;Cadastrar entidade com campos inválidos;Reuse;;;12/20/2020
TestRec;Project list;Listagem de projetos cadastrados com sucesso;Listar todas as entidades com sucesso;Listar todas as entidades com sucesso;Reuse;;;12/20/2020
TestRec;Project list;;Verificar presença de campos retornados;Verificar presença de campos retornados;Accepted;;;12/20/2020
TestRec;Project list;;Verificar paginação;Verificar paginação;Accepted;;;12/20/2020
TestRec;Project list;;Visualizar dados da entidade;Visualizar dados da entidade;Rejected;;Too simple;12/20/2020
TestRec;Project list;;Validar logout da aplicação;Validar logout da aplicação;Rejected;;Other business rule;12/20/2020
TestRec;Project list;;Realizar ação sem ter feito login;Realizar ação sem ter feito login;Accepted;;;12/20/2020
TestRec;Project list;;Verificar comportamento do campo;Verificar comportamento do campo;Rejected;;Business compliance;12/20/2020
TestRec;Project list;;Acessar a tela sem estar autenticado na aplicação;Acessar a tela sem estar autenticado na aplicação;Accepted;;;12/20/2020
TestRec;Project list;;Realizar ação com usuário inativo;Realizar ação com usuário inativo;Rejected;;Business compliance;12/20/2020
TestRec;Project list;;Verificar resultado da consulta (filtro) da entidade;Verificar resultado da consulta (filtro) da entidade;Rejected;;Business compliance;12/20/2020
TestRec;Project list;Listagem de projetos cadastrados sem dados;Validar resultado da consulta de entidade sem dados;Validar resultado da consulta de entidade sem dados;Reuse;;;12/20/2020
TestRec;Project edit;Editar projeto com sucesso;Editar informações da <entidade> com sucesso;Editar projeto com sucesso;Reuse;;;12/20/2020
TestRec;Project edit;Editar projeto com data inicial maior que data final;;Editar projeto com data inicial maior que data final;Developed;;;12/20/2020
TestRec;Project edit;Editar projeto com campo obrigatório não preenchido;Editar entidade deixando os campos obrigatórios do formulário em branco;Editar projeto com campo obrigatório não preenchido;Reuse;;;12/20/2020
TestRec;Project edit;;Editar entidade alterando o ID para um existente;Editar entidade alterando o ID para um existente;Rejected;;Business compliance;12/20/2020
