Precision,Recall,FMeasure,Configuracao,K,Algoritmo,Heuristica
0.5,0.375,0.39473684210526316,cosine_False_1,1,cosine,nao
0.375,0.21428571428571427,0.234375,cosine_False_1,1,cosine,nao
0.7142857142857143,0.5,0.5319148936170213,cosine_False_1,1,cosine,nao
0.6,0.6,0.6,cosine_False_1,1,cosine,nao
0.8571428571428571,0.75,0.7692307692307692,cosine_False_1,1,cosine,nao
0.5,0.5,0.5,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
0.25,0.3333333333333333,0.3125,cosine_False_1,1,cosine,nao
0.6,0.6,0.6,cosine_False_1,1,cosine,nao
0.25,0.25,0.25,cosine_False_1,1,cosine,nao
1.0,0.875,0.8974358974358975,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.6,0.5,0.5172413793103449,cosine_False_1,1,cosine,nao
0.25,0.08333333333333333,0.09615384615384615,cosine_False_1,1,cosine,nao
0.8571428571428571,1.0,0.9677419354838709,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.16666666666666666,0.3333333333333333,0.27777777777777773,cosine_False_1,1,cosine,nao
0.6,0.375,0.40540540540540543,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.5,0.09090909090909091,0.10869565217391305,cosine_False_1,1,cosine,nao
0.75,0.8571428571428571,0.8333333333333333,cosine_False_1,1,cosine,nao
0.125,0.3333333333333333,0.25,cosine_False_1,1,cosine,nao
0.375,0.42857142857142855,0.41666666666666663,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.375,0.375,0.375,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.25,1.0,0.625,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
0.625,0.4166666666666667,0.4464285714285715,cosine_False_1,1,cosine,nao
1.0,0.75,0.7894736842105263,cosine_False_1,1,cosine,nao
0.8333333333333334,0.4166666666666667,0.462962962962963,cosine_False_1,1,cosine,nao
0.16666666666666666,0.5,0.35714285714285715,cosine_False_1,1,cosine,nao
0.5,0.3333333333333333,0.3571428571428571,cosine_False_1,1,cosine,nao
0.16666666666666666,0.14285714285714285,0.14705882352941174,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
1.0,0.1111111111111111,0.13513513513513514,cosine_False_1,1,cosine,nao
0.125,1.0,0.4166666666666667,cosine_False_1,1,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_1,1,cosine,nao
1.0,0.2,0.23809523809523808,cosine_False_1,1,cosine,nao
0.25,0.2857142857142857,0.2777777777777778,cosine_False_1,1,cosine,nao
0.5,0.14285714285714285,0.16666666666666666,cosine_False_1,1,cosine,nao
0.375,0.375,0.375,cosine_False_1,1,cosine,nao
0.125,0.3333333333333333,0.25,cosine_False_1,1,cosine,nao
1.0,0.25,0.29411764705882354,cosine_False_1,1,cosine,nao
0.5,0.5,0.5,cosine_False_1,1,cosine,nao
0.5,0.36363636363636365,0.38461538461538464,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
1.0,0.5,0.5555555555555556,cosine_False_1,1,cosine,nao
1.0,0.16666666666666666,0.19999999999999996,cosine_False_1,1,cosine,nao
0.375,0.5,0.46875,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
1.0,0.75,0.7894736842105263,cosine_False_1,1,cosine,nao
0.5,0.375,0.39473684210526316,cosine_False_1,1,cosine,nao
0.7142857142857143,0.5555555555555556,0.5813953488372093,cosine_False_1,1,cosine,nao
0.14285714285714285,0.2,0.1851851851851852,cosine_False_1,1,cosine,nao
0.7142857142857143,0.45454545454545453,0.49019607843137253,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.3333333333333333,0.2222222222222222,0.23809523809523808,cosine_False_1,1,cosine,nao
0.2,0.16666666666666666,0.17241379310344826,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.125,0.1111111111111111,0.11363636363636363,cosine_False_1,1,cosine,nao
0.4,0.2857142857142857,0.30303030303030304,cosine_False_1,1,cosine,nao
0.3333333333333333,0.1,0.11627906976744186,cosine_False_1,1,cosine,nao
0.375,0.375,0.375,cosine_False_1,1,cosine,nao
0.25,0.25,0.25,cosine_False_1,1,cosine,nao
0.6666666666666666,0.3333333333333333,0.3703703703703703,cosine_False_1,1,cosine,nao
1.0,0.25,0.29411764705882354,cosine_False_1,1,cosine,nao
0.4444444444444444,0.36363636363636365,0.37735849056603776,cosine_False_1,1,cosine,nao
0.8,0.5,0.5405405405405405,cosine_False_1,1,cosine,nao
1.0,0.12,0.14563106796116504,cosine_False_1,1,cosine,nao
0.8,0.3333333333333333,0.3773584905660377,cosine_False_1,1,cosine,nao
0.625,0.625,0.625,cosine_False_1,1,cosine,nao
0.125,0.14285714285714285,0.1388888888888889,cosine_False_1,1,cosine,nao
0.2857142857142857,1.0,0.6666666666666666,cosine_False_1,1,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_1,1,cosine,nao
0.6,0.5,0.5172413793103449,cosine_False_1,1,cosine,nao
0.6,1.0,0.8823529411764706,cosine_False_1,1,cosine,nao
0.1111111111111111,0.5,0.29411764705882354,cosine_False_1,1,cosine,nao
0.125,0.5,0.3125,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
0.5,0.3333333333333333,0.3571428571428571,cosine_False_1,1,cosine,nao
0.5,0.6,0.5769230769230769,cosine_False_1,1,cosine,nao
1.0,0.2857142857142857,0.3333333333333333,cosine_False_1,1,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_1,1,cosine,nao
0.5,0.5,0.5,cosine_False_1,1,cosine,nao
1.0,0.5,0.5555555555555556,cosine_False_1,1,cosine,nao
0.5,0.6,0.5769230769230769,cosine_False_1,1,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_1,1,cosine,nao
1.0,0.4444444444444444,0.5,cosine_False_1,1,cosine,nao
0.5,0.5,0.5,cosine_False_1,1,cosine,nao
0.5,0.6,0.5769230769230769,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.125,0.3333333333333333,0.25,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.5,0.5,0.5,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.5,0.6666666666666666,0.625,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
0.8,0.5,0.5405405405405405,cosine_False_1,1,cosine,nao
